bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
72946486717,18.11.2025 | 15:50,Football. World Cup 2026 Qualification. Europe Austria - Bosnia and Herzegovina,1.92,No,win,Both Teams To Score - Yes (win),0.3 ,19.11.2025 | 00:45
72946319465,18.11.2025 | 15:45,Football. World Cup 2026 Qualification. Europe Fouls Scotland - Fouls Denmark,1.63,No,win,Individual Total 1 Over (12.5) (win),0.3 ,19.11.2025 | 00:45
72946274373,18.11.2025 | 15:43,Football. World Cup 2026 Qualification. Europe Sweden - Slovenia,1.72,No,loss,W1 (loss),0.3 ,19.11.2025 | 00:45
72946264787,18.11.2025 | 15:43,Football. World Cup 2026 Qualification. Europe Corners Sweden - Corners Slovenia,1.62,No,loss,Handicap 1 (-2) (loss),0.3 ,19.11.2025 | 00:45
72946252853,18.11.2025 | 15:43,Football. World Cup 2026 Qualification. Europe Shots Towards The Goal Sweden - Shots Towards The Goal Slovenia,1.64,No,loss,Handicap 1 (-4.5) (loss),0.3 ,19.11.2025 | 00:45
72946238485,18.11.2025 | 15:42,Football. World Cup 2026 Qualification. Europe Fouls Sweden - Fouls Slovenia,1.67,No,win,Individual Total 2 Under (14.5) (win),0.3 ,19.11.2025 | 00:45
72946219353,18.11.2025 | 15:42,Football. World Cup 2026 Qualification. Europe Bulgaria - Georgia | Football. World Cup 2026 Qualification. Europe Belarus - Greece | Football. World Cup 2026 Qualification. Europe Kosovo - Switzerland,17.19,Yes,loss,Individual Total 1 Over (1) (win) | Individual Total 1 Over (1) (loss) | Individual Total 1 Over (1) (100% refund),0.3 ,19.11.2025 | 00:45 | 19.11.2025 | 00:45 | 19.11.2025 | 00:45
72946175383,18.11.2025 | 15:40,Football. World Cup 2026 Qualification. Europe Corners Bulgaria - Corners Georgia,1.75,No,loss,Individual Total 1 Over (3) (loss),0.3 ,19.11.2025 | 00:45
72946141393,18.11.2025 | 15:39,Football. World Cup 2026 Qualification. Europe Yellow Cards Bulgaria - Yellow Cards Georgia,1.81,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,19.11.2025 | 00:45
72946114311,18.11.2025 | 15:39,Football. World Cup 2026 Qualification. Europe Yellow Cards Belarus - Yellow Cards Greece,1.64,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,19.11.2025 | 00:45
72946105451,18.11.2025 | 15:38,Football. World Cup 2026 Qualification. Europe Corners Belarus - Corners Greece,1.6,No,loss,Individual Total 1 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72931201591,18.11.2025 | 02:17,Football. World Cup 2026 Qualification. Europe Montenegro - Croatia,2.2,No,win,Individual Total 2 Over (2.5) (win),0.3 ,18.11.2025 | 00:45
72930641223,18.11.2025 | 01:58,Football. World Cup 2026 Qualification. Europe Montenegro - Croatia,1.73,No,win,Individual Total 2 Over (2) (win),0.3 ,18.11.2025 | 00:45
72930224947,18.11.2025 | 01:46,Football. World Cup 2026 Qualification. Europe Montenegro - Croatia,2.82,No,win,W2 (win),0.3 ,18.11.2025 | 00:45
72929862907,18.11.2025 | 01:37,Football. World Cup 2026 Qualification. Europe Czech Republic - Gibraltar,1.86,No,loss,Handicap 1 (-7) (loss),0.3 ,18.11.2025 | 00:45
72929732853,18.11.2025 | 01:34,Football. World Cup 2026 Qualification. Europe Yellow Cards Northern Ireland - Yellow Cards Luxembourg,2.7,No,win,Individual Total 2 Over (2.5) (win),0.3 ,18.11.2025 | 00:45
72929689617,18.11.2025 | 01:33,Football. World Cup 2026 Qualification. Europe Yellow Cards Northern Ireland - Yellow Cards Luxembourg,2.7,No,win,Individual Total 2 Over (2.5) (win),0.3 ,18.11.2025 | 00:45
